Voltage,Current,Species,Recording,replicate,Date,Venom,Quality,Set
-25,-0.054626465,Rat,activation,4,Oct_12_16,No,Good,5
-20,-0.163574219,Rat,activation,4,Oct_12_16,No,Good,5
-15,-0.960083008,Rat,activation,4,Oct_12_16,No,Good,5
-10,-1.773376465,Rat,activation,4,Oct_12_16,No,Good,5
-5,-2.000427246,Rat,activation,4,Oct_12_16,No,Good,5
0,-2.023925781,Rat,activation,4,Oct_12_16,No,Good,5
5,-1.981201172,Rat,activation,4,Oct_12_16,No,Good,5
10,-1.883544922,Rat,activation,4,Oct_12_16,No,Good,5
15,-1.761474609,Rat,activation,4,Oct_12_16,No,Good,5
20,-1.656188965,Rat,activation,4,Oct_12_16,No,Good,5
25,-1.556396484,Rat,activation,4,Oct_12_16,No,Good,5
30,-1.452331543,Rat,activation,4,Oct_12_16,No,Good,5
35,-1.353149414,Rat,activation,4,Oct_12_16,No,Good,5
40,-1.264648438,Rat,activation,4,Oct_12_16,No,Good,5
45,-1.161804199,Rat,activation,4,Oct_12_16,No,Good,5
50,-1.07208252,Rat,activation,4,Oct_12_16,No,Good,5
55,-0.986328125,Rat,activation,4,Oct_12_16,No,Good,5
60,-0.938110352,Rat,activation,4,Oct_12_16,No,Good,5
65,-0.856933594,Rat,activation,4,Oct_12_16,No,Good,5
70,-0.776367188,Rat,activation,4,Oct_12_16,No,Good,5
75,-0.739440918,Rat,activation,4,Oct_12_16,No,Good,5
80,-0.641784668,Rat,activation,4,Oct_12_16,No,Good,5
85,-0.592346191,Rat,activation,4,Oct_12_16,No,Good,5
90,-0.523071289,Rat,activation,4,Oct_12_16,No,Good,5
-80,-0.030212402,Rat,activation,4,Oct_12_16,Yes,Good,5
-75,-0.034179688,Rat,activation,4,Oct_12_16,Yes,Good,5
-70,-0.026855469,Rat,activation,4,Oct_12_16,Yes,Good,5
-65,-0.026855469,Rat,activation,4,Oct_12_16,Yes,Good,5
-60,-0.032043457,Rat,activation,4,Oct_12_16,Yes,Good,5
-55,-0.028991699,Rat,activation,4,Oct_12_16,Yes,Good,5
-50,-0.026245117,Rat,activation,4,Oct_12_16,Yes,Good,5
-45,-0.037841797,Rat,activation,4,Oct_12_16,Yes,Good,5
-40,-0.05859375,Rat,activation,4,Oct_12_16,Yes,Good,5
-35,-0.045166016,Rat,activation,4,Oct_12_16,Yes,Good,5
-30,-0.055541992,Rat,activation,4,Oct_12_16,Yes,Good,5
-25,-0.06439209,Rat,activation,4,Oct_12_16,Yes,Good,5
-20,-0.106506348,Rat,activation,4,Oct_12_16,Yes,Good,5
-15,-0.231018066,Rat,activation,4,Oct_12_16,Yes,Good,5
-10,-0.560302734,Rat,activation,4,Oct_12_16,Yes,Good,5
-5,-0.886230469,Rat,activation,4,Oct_12_16,Yes,Good,5
0,-1.005554199,Rat,activation,4,Oct_12_16,Yes,Good,5
5,-1.008911133,Rat,activation,4,Oct_12_16,Yes,Good,5
10,-0.96282959,Rat,activation,4,Oct_12_16,Yes,Good,5
15,-0.894165039,Rat,activation,4,Oct_12_16,Yes,Good,5
20,-0.845947266,Rat,activation,4,Oct_12_16,Yes,Good,5
25,-0.757141113,Rat,activation,4,Oct_12_16,Yes,Good,5
30,-0.700378418,Rat,activation,4,Oct_12_16,Yes,Good,5
35,-0.620422363,Rat,activation,4,Oct_12_16,Yes,Good,5
40,-0.579223633,Rat,activation,4,Oct_12_16,Yes,Good,5
45,-0.520629883,Rat,activation,4,Oct_12_16,Yes,Good,5
50,-0.458984375,Rat,activation,4,Oct_12_16,Yes,Good,5
55,-0.419311523,Rat,activation,4,Oct_12_16,Yes,Good,5
60,-0.382080078,Rat,activation,4,Oct_12_16,Yes,Good,5
65,-0.322875977,Rat,activation,4,Oct_12_16,Yes,Good,5
70,-0.317382813,Rat,activation,4,Oct_12_16,Yes,Good,5
75,-0.288696289,Rat,activation,4,Oct_12_16,Yes,Good,5
80,-0.222167969,Rat,activation,4,Oct_12_16,Yes,Good,5
85,-0.200500488,Rat,activation,4,Oct_12_16,Yes,Good,5
